
a	(thông tục) loại a
aciform	hình kim
ack emma	(thông tục) (như) ante_meridiem
ack-ack	súng cao su
acknowledge	nhận
acknowledgement	sự nhận
acknowledgment	sự nhận
aclinic	(vật lý) không nghiêng
acme	tột đỉnh
acock	đội lệch (mũ)
acolyte	(tôn giáo) thầy tu cấp dưới
aconite	(thực vật học) cây phụ tử
acorn	(thực vật học) quả đầu
acotyledon	(thực vật học) cây không lá mầm
acotyledonous	(thực vật học) không lá mầm
acoumeter	cái đo nghe
acoustic	(thuộc) âm thanh; (thuộc) âm học
acoustician	nhà âm học
acoustics	âm học
acquaint	làm quen
acquaintance	sự biết
acquaintanceship	sự quen biết
acquainted	((thường) + with) quen biết
acquest	vật kiếm được
acquiesce	bằng lòng
acquiescence	sự bằng lòng
acquiescent	bằng lòng
acquire	được
acquirement	sự được
acquisition	sự được
acquisitive	thích trữ của
acquisitiveness	tính thích trữ của
acquit	trả hết
acquittal	sự trả xong nợ
acquittancce	sự trả nợ
acre	mẫu Anh (khoảng 0
acreage	diện tích (tính theo mẫu Anh)
acrid	hăng
acridity	vị hăng
acrimonious	chua cay
acrimony	sự chua cay
acrobat	người biểu diễn leo dây
acrobatically	tài tình
acrobatics	thuật leo dây
acrobatism	thuật leo dây
acrocarpous	(thực vật học) có quả ở ngọn
acrogenous	(thực vật học) sinh ở ngọn
acromegaly	(y học) bệnh to cực
acronycal	(thiên văn học) xuất hiện vào lúc chập tối (sao...)
acronychal	(thiên văn học) xuất hiện vào lúc chập tối (sao...)
acronym	từ (cấu tạo bằng) chữ đầu (của những từ khác) (ví dụ NATO
acropetal	hướng ngọn
acrophobia	(y học) chứng sợ nơi cao
acropolis	vệ thành
acrospore	(thực vật học) bào tử ngọn
across	qua
acrostic	(thơ ca) chữ đầu
act	hành động
acting	hành động
actinia	(động vật học) hải quỳ
actiniae	(động vật học) hải quỳ
actinic	(vật lý)
actinism	(vật lý)
actinium	(hoá học) Actini
actinometer	(vật lý) cái đo nhật xạ
actinomorphic	(sinh vật học) đối xứng toả tia
actinomorphous	(sinh vật học) đối xứng toả tia
action	hành động
actionable	có thể kiện
activate	(hoá học); (sinh vật học) hoạt hoá
activated	đã hoạt hoá
activation	sự hoạt hoá
active	tích cực
actively	tích cực hoạt động; nhanh nhẹn
activity	sự tích cực
actor	diễn viên (kịch
actress	nữ diễn viên
actual	thật sự
actualise	thực hiện
actuality	thực tế
actualization	sự thực hiện
actualize	thực hiện
actually	thực sự
actuary	chuyên viên thống kê (tỷ lệ sinh đẻ
actuate	thúc đẩy
actuation	sự thúc đẩy
acuity	tính sắc nhọn (cái kim...); tính sắc bén
aculeate	(thực vật học) có gai
acumen	sự nhạy bén
acuminate	(thực vật học) nhọn mũi
acupuncture	(y học) thuật châm cứu
acute	sắc
acuteness	sự sắc; tính sắc bén
ad	(thông tục) (viết tắt) của advertisement
ad hoc	đặc biệt
ad infinitum	vô cùng
ad interim	((viết tắt) a i) quyền
ad valorem	theo giá hàng
ad-lib	(thông tục) ứng khẩu
adage	cách ngôn
adagio	(âm nhạc) khoan thai
adam	A-dam (con người đầu tiên
adamant	kỉ cương
adamantine	rắn như kim cương
adapt	tra vào
adaptability	tính có thể tra vào
adaptable	có thể tra vào
adaptableness	tính có thể tra vào
adaptation	sự tra vào
adapter	người phỏng theo
add	((thường) + up
addax	(động vật học) linh dương sừng queo (Bắc Phi)
addenda	phụ lục (của một cuốn sách); vật thêm vào
addendum	phụ lục (của một cuốn sách); vật thêm vào
adder	người cộng
adder's tongue	(thực vật học) cây lưỡi rắn (dương xỉ)
adder-spit	(thực vật học) cây lưỡi rắn (dương xỉ)
addict	người nghiện
addiction	thói nghiện
adding-machine	máy cộng
addison's disease	(y học) bệnh A-đi-sơn
addition	(toán học) tính cộng; phép cộng; sự cộng lại
additional	thêm vào
additive	để cộng vào
addle	lẫn
addle-brained	đầu óc lẫn quẫn
addle-head	ate) 
addle-pate	ate) 
address	địa chỉ
addressee	người nhận (thư...)
adduce	viện
adduceable	có thể viện dẫn (lý lẽ
adducent	(giải phẫu) khép (cơ)
adducible	có thể viện dẫn (lý lẽ
adduct	(giải phẫu) khép (các cơ...)
adduction	(giải phẫu) sự khép (cơ)
addutor	(giải phẫu) cơ khép
adenite	(y học) viêm hạch
adenoids	(y học) bệnh sùi vòm họng
adept	người giỏi
adequacy	sự đủ
adequate	đủ
adequateness	sự đủ
adequation	sự san bằng
adespota	những tác phẩm khuyết danh
adhere	dính chặt vào
adherence	sự dính chặt
adherent	người gia nhập đảng
adherer	người gia nhập đảng
adhesion	sự dính chặt vào
adhesive	dính
adhesiveness	dính dính
adhibit	ký (tên) vào; đóng (dấu) vào
adiabatic	(vật lý) đoạn nhiệt
adiantum	(thực vật học) cây đuôi chồn (dương xỉ)
adieu	từ biệt!; vĩnh biệt!
adipocere	chất sáp mỡ (xác chết)
adipose	mỡ động vật
adiposis	(y học) chứng phát phì
adiposity	tình trạng béo phì
adit	đường vào
adjacence	sự gần kề
adjacency	sự gần kề
adjacent	gần kề
adjectival	(ngôn ngữ học) có tính chất tính từ; có chức năng tính từ
adjective	phụ vào
adjoin	nối liền
adjoining	gần kề
adjourn	hoãn
adjournment	sự hoãn lại
adjudge	xử
adjudgement	sự xét sử
adjudgment	sự xét sử
adjudicate	xét xử (quan toà)
adjudication	sự xét xử
adjudicator	quan toà
adjunct	điều thêm vào
adjunct professor	(từ Mỹ
adjunction	sự thêm vào
adjunctive	thêm
adjuration	lời thề
adjure	bắt thề
adjust	sửa lại cho đúng
adjustable	có thể điều chỉnh được
adjuster	máy điều chỉnh
adjustment	sự sửa lại cho đúng
adjutage	ống vòi (ống nhỏ lắp vào miệng vòi máy nước để lấy nước)
adjutancy	(quân sự) chức sĩ quan phụ tá; nhiệm vụ sĩ quan phụ tá
adjutant	người phụ tá
adjuvant	giúp đỡ
adman	(từ Mỹ
admass	quần chúng dễ bị thủ đoạn quảng cáo ảnh hưởng
admeasure	quy định từng phần; chia phần ra
admeasurement	sự quy định từng phần
administer	trông nom
administrate	(từ Mỹ
administration	sự trông nom
administrative	(thuộc) hành chính
administrator	người quản lý
administratorship	chức vụ quản lý
administratrices	bà quản lý
administratrix	bà quản lý
admirability	tính đáng phục
admirable	đáng phục
admiral	đô đốc
admiralship	chức đô đốc
admiralty	(Anh) bộ hải quân
admiration	sự ngắm nhìn một cách vui thích
admire	ngắm nhìn một cách vui thích
admirer	người khâm phục
admiring	khâm phục
admissibility	tính có thể chấp nhận được
admissible	có thể chấp nhận
admission	sự nhận vào
admit	nhận vào
admittable	có thể để cho vào (nơi nào)
admittance	sự cho vào
admittedly	phải nhận
admix	trộn lẫn
admixture	sự trộn lẫn
admonish	khiển trách
admonishment	sự khiển trách
admonition	sự khiển trách
admonitory	khiển trách
adnate	(sinh vật học) hợp sinh
adnoun	(ngôn ngữ học) tính từ
ado	việc làm
adobe	gạch sống (phơi nắng
adolescence	thời thanh niên
adolescency	thời thanh niên
adolescent	đang tuổi thanh niên
adonis	(thần thoại
adonize	làm dáng
adopt	nhận làm con nuôi; nhận làm bố mẹ nuôi
adoptability	tính có thể nhận làm con nuôi; tính có thể nhận làm bố mẹ nuôi
adoptable	có thể nhận làm con nuôi; có thể nhận làm bố mẹ nuôi
adoptee	con nuôi
adopter	người nhận nuôi
adoption	sự nhận làm con nuôi; sự nhận làm bố mẹ nuôi
adoptive	nuôi; nhận nuôi
adorability	tính đáng yêu
adorable	đáng kính yêu
adorableness	tính đáng yêu
adoration	sự kính yêu
adore	kính yêu
adorer	người hâm mộ
adorn	tô điểm
adornment	sự tô điểm
adown	(từ cổ
adrenal	(giải phẫu) trên thận
adrenalin	(y học) Adrenalin
adrift	lênh đênh trôi giạt
adroit	khéo léo
adroitness	sự khéo léo
adscititious	phụ vào
adsorb	(hoá học) hút bám
adsorbate	(hoá học) chất bị hút bám
adsorbent	(hoá học) hút bám
adsorber	(hoá học) máy hút bám
adsorption	(hoá học) sự hút bám
adulate	nịnh hót
adulation	sự nịnh hót
adulator	kẻ nịnh hót
adulatory	nịnh hót
adult	người lớn
adulterant	để làm giả
adulterate	có pha (rượu)
adulteration	sự pha
adulterer	người đàn ông ngoại tình
adulteress	người đàn bà ngoại tình
adulterine	do ngoại tình mà đẻ ra
adulterous	ngoại tình
adultery	tội ngoại tình
adulthood	tuổi khôn lớn
adumbral	nhiều bóng râm
adumbrate	phác hoạ
adumbration	sự phác hoạ
adust	cháy khô
advance	sự tiến lên
advance-guard	(quân sự) quân tiền phong
advanced	tiên tiến
advancement	sự tiến lên
advantage	sự thuận lợi
advantageous	có lợi
advantageousness	tính có lợi
advent	sự đến
adventitious	ngẫu nhiên
adventitiousness	tính ngẫu nhiên
adventure	phiêu lưu
adventurer	người phiêu lưu
adventuresome	(từ hiếm
adventuress	người đàn bà thích phiêu lưu mạo hiểm
adventurism	chủ nghĩa phiêu lưu
adventurous	thích phiêu lưu
adventurousness	tính phiêu lưu
adverb	(ngôn ngữ học) phó từ
adverbial	(ngôn ngữ học) (thuộc) phó từ; có tính chất phó từ
adversary	kẻ địch
adversative	(ngôn ngữ học) đối lập
adverse	đối địch
adversity	sự bất hạnh; vận đen
advert	ám chỉ (nói hoặc viết); nói đến
advertence	sự chú ý
advertency	sự chú ý
advertise	báo cho biết
advertisement	sự quảng cáo; bài quảng cáo (trên báo
advertiser	người báo cho biết trước
advertize	báo cho biết
advice	lời khuyên
advisability	tính chất nên
advisable	nên
advisableness	tính chất nên
advise	khuyên
advised	am hiểu
advisedly	có suy nghĩ chín chắn
adviser	người khuyên bảo
advisor	người khuyên bảo
advisory	để hỏi
advocacy	nhiệm vụ luật sư
advocate	người biện hộ
adynamia	(y học) chứng mệt lử; sự kiệt sức
adynamic	(y học) mệt lử
adyta	chính điện (ở giáo đường)
adytum	chính điện (ở giáo đường)
adz	rìu lưỡi vòm
adze	rìu lưỡi vòm
aeger	giấy chứng nhận ốm (cho học sinh các trường đại học Anh)
aegis	sự che chở
aegrotat	giấy chứng nhận ốm nặng không dự thi được (của học sinh các trường đại học Anh)
aelotropic	(vật lý) dị hướng
aelotropy	(vật lý) tính dị hướng
aeon	thời đại
aerate	làm thông khí
aeration	sự làm thông
aerial	ở trên trời
aerie	tổ chim làm tít trên cao (của chim săn mồi)
aeriform	dạng hơi
aerify	làm hoá ra thể hơi
aero-engine	động cơ máy bay
aerobatics	sự nhào lộn trên không (của máy bay)
aerobe	vi sinh vật ưa khí
aerobiology	khoa sinh vật không khí (nghiên cứu các vi sinh vật và bào tử trong không khí)
aerocamera	máy ảnh chụp trên không (chụp từ máy bay)
aerocarrier	tàu sân bay
aerodrome	sân bay
aerodynamic	khí động lực
aerodynamical	khí động lực
aerodynamics	khí động lực học
aerodyne	máy bay nặng hơn không khí
aeroembolism	(y học) bệnh khí ép
aerofoil	cánh máy bay
aerogram	bức điện rađiô
aerogun	súng gắn trên máy bay
aerolite	đá trời
aerology	(vật lý) môn quyển khí
aeromechanics	cơ học chất khí
aerometer	cái đo tỷ trọng khí
aeronaut	nhà hàng không; người lái khí cầu
aeronautic	(thuộc) hàng không
aeronautical	(thuộc) hàng không
aeronautics	hàng không học
aeronavigation	thuật hàng không
aerophotograph	ảnh chụp từ máy bay
aerophotography	sự chụp ảnh từ máy bay; phép chụp ảnh từ máy bay
aeroplane	máy bay
aeroport	sân bay lớn
aerostat	khí cầu
aerostatics	(số nhiều dùng như số ít) khí cầu học
aerotechnics	kỹ thuật hàng không
aeruginous	có tính chất gỉ đồng; giống màu gỉ đồng
aery	tổ chim làm tít trên cao (của chim săn mồi)
aesthete	nhà thẩm mỹ
aesthetic	(thuộc) mỹ học
aesthetically	có thẩm mỹ
aesthetics	mỹ học
aestho-physiology	sinh lý học giác quan
aestival	(thuộc) mùa hạ; sinh vào mùa hạ
aestivate	(động vật học) ngủ hè
aestivation	(động vật học) sự ngủ hè
aetiology	thuyết nguyên nhân
afar	xa
affability	sự lịch sự
affable	lịch sự
affableness	sự lịch sự
affair	việc
affect	làm ảnh hưởng đến
affectation	sự điệu bộ
affected	(+ to
affectedly	giả tạo
affecting	làm xúc động
affection	sự làm ảnh hưởng đến
affectionate	thương yêu
affectionateness	tính hay thương yêu
affective	xúc động
affectivity	tính dễ xúc động
afferent	(sinh vật học) hướng vào
affettuoso	(âm nhạc) âu yếm
affiance	(+ in
affidavit	(pháp lý) bản khai có tuyên thệ
affiliate	nhận làm chi nhánh
affiliation	sự nhập hội
affinage	(kỹ thuật) sự tinh luyện
affined	có quan hệ họ hàng
affinity	mối quan hệ
affirm	khẳng định
affirmation	sự khẳng định
affirmative	khẳng định; quả quyết
affix	sự thêm vào; phần thêm vào
affixture	sự đóng chặt vào
afflatus	cảm hứng
afflict	làm đau đớn
affliction	nỗi đau đớn
afflictive	làm đau đớn
affluence	sự tụ họp đông (người)
affluent	nhiều
afflux	sự đổ dồn (về một nơi); sự chảy dồn
afford	có thể
afforest	trồng cây gây rừng; biến thành rừng
afforestation	sự trồng cây gây rừng; sự biến thành rừng
afforestment	sự trồng cây gây rừng; sự biến thành rừng
affranchise	giải phóng
affranchisement	sự giải phóng
affray	sự huyên náo; cuộc ẩu đả
affreightment	(hàng hải) sự thuê tàu
affricate	(ngôn ngữ học) âm tắc xát
affright	(thơ ca); (từ cổ
affront	sự lăng mạ
affusion	sự rảy nước
afghan	người Ap-ga-ni-xtăng
afield	ở ngoài đồng
afire	cháy
aflame	cháy
afloat	nổi lênh đênh (trên mặt nước)
afoot	đi bộ
afore	(hàng hải) ở phía trước
aforecited	đã dẫn
aforegoing	xảy ra trước đây
aforementioned	đã kể ở trên
aforenamed	đã kể ở trên
aforesaid	đã nói ở trên
aforethought	cố ý
aforetime	trước đây
afoul	chạm vào
afraid	sợ
afreet	con quỷ (thần thoại người Hồi)
afresh	lại lần nữa
african	thuộc Châu phi
afrikaans	người Nam phi; người Hà lan ở Kếp
afrikaner	người Nam phi gốc Âu (đặc biệt là Hà lan)
afrikanist	nhà nghiên cứu văn hoá Châu phi
afrit	con quỷ (thần thoại người Hồi)
afrite	con quỷ (thần thoại người Hồi)
afro-american	thuộc người Mỹ da đen; người Mỹ nguồn gốc Châu phi
aft	ở cuối tàu
after	sau
after-care	sự trông nom chăm sóc sau thời gian điều trị
after-effect	hậu quả
after-grass	cỏ mọc lại
after-life	kiếp sau
after-pains	(y học) chứng đau bóp tử cung sau hậu sản
afterbirth	nhau (đàn bà đẻ)
afterburner	(hàng không) thùng chất đốt phụ (máy bay phản lực)
afterclap	việc hậu phát
aftercrop	lúa dẻ
afterdamp	(ngành mỏ) hơi bốc sau (bốc lên ở hầm mỏ sau khi khí độc nổ)
afterglow	ánh hồng ban chiếu (ở chân trời sau khi mặt trời lặn)
